Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.07692307692  ,  3.09090909091  ,  2.37667489832  ,  5  ,  67  ,  39.295  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.05882352941  ,  2.0  ,  1.5723681692  ,  4  ,  40  ,  26.14827  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.33333333333  ,  4.1  ,  3.40413939761  ,  5  ,  101  ,  56.21479  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0625  ,  3.125  ,  2.10204191552  ,  5  ,  74  ,  35.23256  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.05  ,  2.5  ,  1.32009318335  ,  5  ,  49  ,  21.86494  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.4  ,  4.14285714286  ,  3.14377018154  ,  5  ,  102  ,  52.37139  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.09523809524  ,  3.14285714286  ,  1.78974299273  ,  5  ,  74  ,  29.35258  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.04761904762  ,  2.5  ,  1.25428878298  ,  5  ,  39  ,  20.58299  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.33333333333  ,  4.16666666667  ,  2.81018561919  ,  5  ,  102  ,  46.3033  ,
PacketMinSketch ,  32 ,  7 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.14285714286  ,  3.0  ,  1.83256679156  ,  5  ,  54  ,  29.91486  ,
PacketMinSketch ,  32 ,  7 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.04761904762  ,  3.0  ,  1.26490722818  ,  5  ,  32  ,  20.67988  ,

PacketMinSketch ,  32 ,  8 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.33333333333  ,  4.17391304348  ,  2.80198741491  ,  5  ,  102  ,  45.86614  ,
PacketMinSketch ,  32 ,  8 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.14285714286  ,  3.0  ,  1.8932479021  ,  5  ,  54  ,  30.8918  ,
PacketMinSketch ,  32 ,  8 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.04347826087  ,  3.0  ,  1.25360251317  ,  5  ,  33  ,  20.4594  ,


PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  33.5849625007  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.66666666667  ,  6.26086956522  ,  4.79271733516  ,  8  ,  162  ,  78.68996  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  65.5849625007  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.4  ,  4.47058823529  ,  3.16915993078  ,  6  ,  112  ,  52.33821  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  129.584962501  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.28571428571  ,  2.58333333333  ,  1.87266047521  ,  5  ,  63  ,  30.8456  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.5849625007  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.75  ,  5.83333333333  ,  4.40617327154  ,  7  ,  139  ,  72.85091  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  65.5849625007  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.33333333333  ,  4.0  ,  3.09409576515  ,  7  ,  91  ,  51.11613  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  129.584962501  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.15384615385  ,  2.5  ,  1.81126794098  ,  5  ,  45  ,  30.00002  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  33.5849625007  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.66666666667  ,  5.0  ,  4.36198292037  ,  8  ,  125  ,  71.75471  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  65.5849625007  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.42857142857  ,  4.0625  ,  2.90656629898  ,  7  ,  98  ,  48.33789  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  129.584962501  ,  100000 ,  3 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.10526315789  ,  3.0  ,  1.61230928083  ,  6  ,  54  ,  26.77451  ,

