Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  27 ,  4 ,  1 ,  1 ,  27.0  ,  3000000 ,  1 ,  6.66666666667e-05  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  28 ,  4 ,  1 ,  1 ,  28.0  ,  3000000 ,  1 ,  3.33333333333e-05  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  29 ,  4 ,  1 ,  1 ,  29.0  ,  3000000 ,  1 ,  0.0  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  30 ,  4 ,  1 ,  1 ,  30.0  ,  3000000 ,  1 ,  0.0  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  31 ,  4 ,  1 ,  1 ,  31.0  ,  3000000 ,  1 ,  0.0  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,

PacketMinSketch ,  2 ,  4 ,  2 ,  2 ,  8.0  ,  3000000 ,  1 ,  100.0  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  3 ,  4 ,  2 ,  2 ,  12.0  ,  3000000 ,  1 ,  99.9998333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  4 ,  4 ,  2 ,  2 ,  16.0  ,  3000000 ,  1 ,  99.1583  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  5 ,  4 ,  2 ,  2 ,  20.0  ,  3000000 ,  1 ,  85.4482  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
