b,AvgB,Th,AvgL,AvgTime
3,7,4,23.0,5.29002666667
3,7,4,24.0,5.34376774194
3,7,4,25.0,5.3755875
3,7,4,26.0,5.3986
3,7,4,27.0,5.4632
3,7,4,28.0,5.50056571429
3,7,4,29.0,5.49809444444
3,7,4,30.0,5.50357297297
3,7,4,31.0,5.50573684211
3,7,4,32.0,5.49696410256
3,7,4,33.0,5.500465
3,7,4,34.0,5.49858536585
3,7,4,35.0,5.49546666667
3,7,4,36.0,5.50371627907
3,7,4,37.0,5.49474090909
3,7,4,38.0,5.50292888889
3,7,4,39.0,5.49066086957
3,7,4,40.0,5.49535319149
3,7,4,41.0,5.4922
3,7,4,42.0,5.49337959184
3,7,4,43.0,5.498252
3,7,4,44.0,5.50181176471
3,7,4,45.0,5.5029
3,7,4,46.0,5.49790188679
3,7,4,47.0,5.50438518519
3,7,4,48.0,5.49747272727
3,7,4,49.0,5.49644642857
3,7,4,50.0,5.49604912281
3,7,4,51.0,5.49966551724
3,7,4,52.0,5.49917627119
3,7,4,53.0,5.49657333333
3,7,4,54.0,5.49934754098
3,7,4,55.0,5.5833483871
3,7,4,56.0,5.66318095238
3,7,4,57.0,5.7649125
3,7,4,58.0,5.84872615385
3,7,4,59.0,5.94097272727
3,7,4,60.0,6.03105373134
3,7,4,61.0,6.08151764706
3,7,4,62.0,6.15390724638
3,7,4,63.0,6.23862857143
4,0,1,3.0,1.9994
4,0,1,4.0,2.36915
4,0,1,5.0,2.40324
4,0,1,6.0,2.25133333333
4,0,1,7.0,2.15125714286
4,0,1,8.0,2.067375
4,0,1,9.0,2.10762222222
4,0,1,10.0,2.2574
4,0,1,11.0,2.37712727273
4,0,1,12.0,2.45505
4,0,1,13.0,2.54941538462
4,0,1,14.0,2.6154
4,0,1,15.0,2.66242666667
4,0,1,16.0,2.7188375
4,0,1,17.0,2.69624705882
4,0,1,18.0,2.64143333333
4,0,1,19.0,2.58056842105
4,0,1,20.0,2.52553
4,0,1,21.0,2.48136190476
4,0,1,22.0,2.42670909091
4,0,1,23.0,2.39716521739
4,0,1,24.0,2.354675
4,0,1,25.0,2.317184
4,0,1,26.0,2.28706923077
4,0,1,27.0,2.25480740741
4,0,1,28.0,2.23605
4,0,1,29.0,2.20667586207
4,0,1,30.0,2.18663333333
4,0,1,31.0,2.16206451613
4,0,1,32.0,2.14240625
4,0,1,33.0,2.15604848485
4,0,1,34.0,2.19266470588
4,0,1,35.0,2.22995428571
4,0,1,36.0,2.26461111111
4,0,1,37.0,2.29708648649
4,0,1,38.0,2.30972105263
4,0,1,39.0,2.36426153846
4,0,1,40.0,2.37372
4,0,1,41.0,2.42685853659
4,0,1,42.0,2.45763333333
4,0,1,43.0,2.46775348837
4,0,1,44.0,2.49702727273
4,0,1,45.0,2.49978666667
4,0,1,46.0,2.54060434783
4,0,1,47.0,2.57069361702
4,0,1,48.0,2.5905125
4,0,1,49.0,2.60873469388
4,0,1,50.0,2.609144
4,0,1,51.0,2.6252745098
4,0,1,52.0,2.64559230769
4,0,1,53.0,2.66793207547
4,0,1,54.0,2.66831111111
4,0,1,55.0,2.68726545455
4,0,1,56.0,2.71900714286
4,0,1,57.0,2.71465964912
4,0,1,58.0,2.74577586207
4,0,1,59.0,2.74517966102
4,0,1,60.0,2.76271333333
4,0,1,61.0,2.77229180328
4,0,1,62.0,2.78786774194
4,0,1,63.0,2.79817142857
4,0,2,3.0,3.3324
4,0,2,4.0,3.36915
4,0,2,5.0,3.40324
4,0,2,6.0,3.41533333333
4,0,2,7.0,3.73465714286
4,0,2,8.0,3.944775
4,0,2,9.0,3.89042222222
4,0,2,10.0,3.8524
4,0,2,11.0,3.82532727273
4,0,2,12.0,3.79445
4,0,2,13.0,3.77761538462
4,0,2,14.0,3.7586
4,0,2,15.0,3.73542666667
4,0,2,16.0,3.7188375
4,0,2,17.0,3.69624705882
4,0,2,18.0,3.64143333333
4,0,2,19.0,3.58056842105
4,0,2,20.0,3.52553
4,0,2,21.0,3.48136190476
4,0,2,22.0,3.47050909091
4,0,2,23.0,3.58316521739
4,0,2,24.0,3.651275
4,0,2,25.0,3.710384
4,0,2,26.0,3.78306923077
4,0,2,27.0,3.84240740741
4,0,2,28.0,3.91885
4,0,2,29.0,3.96747586207
4,0,2,30.0,4.02403333333
4,0,2,31.0,4.06966451613
4,0,2,32.0,4.11060625
4,0,2,33.0,4.09304848485
4,0,2,34.0,4.07506470588
4,0,2,35.0,4.05975428571
4,0,2,36.0,4.03981111111
4,0,2,37.0,4.02748648649
4,0,2,38.0,4.00752105263
4,0,2,39.0,4.00686153846
4,0,2,40.0,3.98252
4,0,2,41.0,3.98285853659
4,0,2,42.0,3.97263333333
4,0,2,43.0,3.95635348837
4,0,2,44.0,3.94542727273
4,0,2,45.0,3.92758666667
4,0,2,46.0,3.92080434783
4,0,2,47.0,3.92189361702
4,0,2,48.0,3.9121125
4,0,2,49.0,3.90413469388
4,0,2,50.0,3.891544
4,0,2,51.0,3.8762745098
4,0,2,52.0,3.87499230769
4,0,2,53.0,3.86973207547
4,0,2,54.0,3.85291111111
4,0,2,55.0,3.85206545455
4,0,2,56.0,3.85380714286
4,0,2,57.0,3.84305964912
4,0,2,58.0,3.84317586207
4,0,2,59.0,3.83557966102
4,0,2,60.0,3.82931333333
4,0,2,61.0,3.82509180328
4,0,2,62.0,3.81686774194
4,0,2,63.0,3.81257142857
4,0,4,3.0,5.3324
4,0,4,4.0,6.11375
4,0,4,5.0,6.21164
4,0,4,6.0,6.08053333333
4,0,4,7.0,6.01285714286
4,0,4,8.0,5.944775
4,0,4,9.0,5.89042222222
4,0,4,10.0,5.8524
4,0,4,11.0,5.82532727273
4,0,4,12.0,5.79445
4,0,4,13.0,5.77761538462
4,0,4,14.0,5.9796
4,0,4,15.0,6.33942666667
4,0,4,16.0,6.6574375
4,0,4,17.0,6.64324705882
4,0,4,18.0,6.58243333333
4,0,4,19.0,6.53076842105
4,0,4,20.0,6.47453
4,0,4,21.0,6.43456190476
4,0,4,22.0,6.37990909091
4,0,4,23.0,6.35296521739
4,0,4,24.0,6.315875
4,0,4,25.0,6.272784
4,0,4,26.0,6.24406923077
4,0,4,27.0,6.22040740741
4,0,4,28.0,6.19705
4,0,4,29.0,6.17387586207
4,0,4,30.0,6.15663333333
4,0,4,31.0,6.12846451613
4,0,4,32.0,6.11060625
4,0,4,33.0,6.09304848485
4,0,4,34.0,6.07506470588
4,0,4,35.0,6.05975428571
4,0,4,36.0,6.03981111111
4,0,4,37.0,6.02748648649
4,0,4,38.0,6.00752105263
4,0,4,39.0,6.00686153846
4,0,4,40.0,5.98252
4,0,4,41.0,5.98285853659
4,0,4,42.0,5.97263333333
4,0,4,43.0,5.95635348837
4,0,4,44.0,5.94542727273
4,0,4,45.0,5.92758666667
4,0,4,46.0,5.92080434783
4,0,4,47.0,5.92189361702
4,0,4,48.0,5.9121125
4,0,4,49.0,5.90413469388
4,0,4,50.0,5.891544
4,0,4,51.0,5.8762745098
4,0,4,52.0,5.87499230769
4,0,4,53.0,5.86973207547
4,0,4,54.0,5.90591111111
4,0,4,55.0,6.01046545455
4,0,4,56.0,6.11540714286
4,0,4,57.0,6.22085964912
4,0,4,58.0,6.31777586207
4,0,4,59.0,6.39837966102
4,0,4,60.0,6.48031333333
4,0,4,61.0,6.56449180328
4,0,4,62.0,6.64586774194
4,0,4,63.0,6.71637142857
4,3,1,3.0,1.50203333333
4,3,1,4.0,1.50268571429
4,3,1,5.0,1.504075
4,3,1,6.0,1.4992
4,3,1,7.0,1.50226
4,3,1,8.0,1.50516363636
4,3,1,9.0,1.58541666667
4,3,1,10.0,1.73775384615
4,3,1,11.0,1.85444285714
4,3,1,12.0,1.9662
4,3,1,13.0,2.0629125
4,3,1,14.0,2.14137647059
4,3,1,15.0,2.22733333333
4,3,1,16.0,2.29012631579
4,3,1,17.0,2.30173
4,3,1,18.0,2.26546666667
4,3,1,19.0,2.22706363636
4,3,1,20.0,2.20286086957
4,3,1,21.0,2.16763333333
4,3,1,22.0,2.136616
4,3,1,23.0,2.11322307692
4,3,1,24.0,2.08879259259
4,3,1,25.0,2.07682857143
4,3,1,26.0,2.04926896552
4,3,1,27.0,2.03689333333
4,3,1,28.0,2.01774193548
4,3,1,29.0,2.00109375
4,3,1,30.0,1.98989090909
4,3,1,31.0,1.97088823529
4,3,1,32.0,1.96166857143
4,3,1,33.0,1.97148333333
4,3,1,34.0,2.00550810811
4,3,1,35.0,2.04797894737
4,3,1,36.0,2.09080512821
4,3,1,37.0,2.12356
4,3,1,38.0,2.1712195122
4,3,1,39.0,2.21152380952
4,3,1,40.0,2.22457209302
4,3,1,41.0,2.25711363636
4,3,1,42.0,2.26844888889
4,3,1,43.0,2.30434347826
4,3,1,44.0,2.34185106383
4,3,1,45.0,2.36624166667
4,3,1,46.0,2.39066530612
4,3,1,47.0,2.398408
4,3,1,48.0,2.41302745098
4,3,1,49.0,2.43609230769
4,3,1,50.0,2.4700490566
4,3,1,51.0,2.46728148148
4,3,1,52.0,2.4944
4,3,1,53.0,2.53041785714
4,3,1,54.0,2.53693684211
4,3,1,55.0,2.56037931034
4,3,1,56.0,2.56716949153
4,3,1,57.0,2.59555
4,3,1,58.0,2.59887868852
4,3,1,59.0,2.61878387097
4,3,1,60.0,2.62812698413
4,3,1,61.0,2.6436625
4,3,1,62.0,2.65601846154
4,3,1,63.0,2.67295151515
4,3,2,3.0,2.00203333333
4,3,2,4.0,2.07411428571
4,3,2,5.0,2.129075
4,3,2,6.0,2.27546666667
4,3,2,7.0,2.60574
4,3,2,8.0,2.87112727273
4,3,2,9.0,2.91951666667
4,3,2,10.0,2.96652307692
4,3,2,11.0,2.99624285714
4,3,2,12.0,3.03868
4,3,2,13.0,3.05855
4,3,2,14.0,3.08316470588
4,3,2,15.0,3.11833333333
4,3,2,16.0,3.13223157895
4,3,2,17.0,3.15173
4,3,2,18.0,3.12260952381
4,3,2,19.0,3.0907
4,3,2,20.0,3.07242608696
4,3,2,21.0,3.04263333333
4,3,2,22.0,3.057272
4,3,2,23.0,3.15388461538
4,3,2,24.0,3.23705925926
4,3,2,25.0,3.33647142857
4,3,2,26.0,3.39033103448
4,3,2,27.0,3.47491333333
4,3,2,28.0,3.53985806452
4,3,2,29.0,3.59355625
4,3,2,30.0,3.65989090909
4,3,2,31.0,3.70670588235
4,3,2,32.0,3.7672
4,3,2,33.0,3.75018333333
4,3,2,34.0,3.74483783784
4,3,2,35.0,3.73313684211
4,3,2,36.0,3.73480512821
4,3,2,37.0,3.722515
4,3,2,38.0,3.72532682927
4,3,2,39.0,3.72453809524
4,3,2,40.0,3.71033953488
4,3,2,41.0,3.70814090909
4,3,2,42.0,3.70111555556
4,3,2,43.0,3.69473913043
4,3,2,44.0,3.6951787234
4,3,2,45.0,3.68999166667
4,3,2,46.0,3.68767755102
4,3,2,47.0,3.680568
4,3,2,48.0,3.6700627451
4,3,2,49.0,3.67485
