Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  66  ,  66  ,  66.0  ,  1.49295774648  ,  3.33802816901  ,  2.6494071831  ,  106  ,  237  ,  188.10791  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  67  ,  67  ,  67.0  ,  1.48611111111  ,  3.33333333333  ,  2.66499305556  ,  107  ,  240  ,  191.8795  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  68  ,  68  ,  68.0  ,  1.47945205479  ,  3.32876712329  ,  2.67809767123  ,  108  ,  243  ,  195.50113  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  69  ,  69  ,  69.0  ,  1.47297297297  ,  3.32432432432  ,  2.68951013514  ,  109  ,  246  ,  199.02375  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  70  ,  70  ,  70.0  ,  1.46666666667  ,  3.32  ,  2.702176  ,  110  ,  249  ,  202.6632  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  71  ,  71  ,  71.0  ,  1.46052631579  ,  3.31578947368  ,  2.70923276316  ,  111  ,  252  ,  205.90169  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  72  ,  72  ,  72.0  ,  1.45454545455  ,  3.31168831169  ,  2.72132103896  ,  112  ,  255  ,  209.54172  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  73  ,  73  ,  73.0  ,  1.44871794872  ,  3.30769230769  ,  2.73157897436  ,  113  ,  258  ,  213.06316  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  74  ,  74  ,  74.0  ,  1.44303797468  ,  3.30379746835  ,  2.73872443038  ,  114  ,  261  ,  216.35923  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  75  ,  75  ,  75.0  ,  1.4375  ,  3.3  ,  2.7496735  ,  115  ,  264  ,  219.97388  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  76  ,  76  ,  76.0  ,  1.43209876543  ,  3.2962962963  ,  2.75882271605  ,  116  ,  267  ,  223.46464  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  77  ,  77  ,  77.0  ,  1.42682926829  ,  3.29268292683  ,  2.76914195122  ,  117  ,  270  ,  227.06964  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  78  ,  78  ,  78.0  ,  1.42168674699  ,  3.28915662651  ,  2.77771975904  ,  118  ,  273  ,  230.55074  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  79  ,  79  ,  79.0  ,  1.41666666667  ,  3.28571428571  ,  2.78591154762  ,  119  ,  276  ,  234.01657  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  80  ,  80  ,  80.0  ,  1.41176470588  ,  3.28235294118  ,  2.79287588235  ,  120  ,  279  ,  237.39445  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  81  ,  81  ,  81.0  ,  1.40697674419  ,  3.27906976744  ,  2.80060116279  ,  121  ,  282  ,  240.8517  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  82  ,  82  ,  82.0  ,  2.33333333333  ,  3.26436781609  ,  2.79773850575  ,  203  ,  284  ,  243.40325  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  83  ,  83  ,  83.0  ,  2.31818181818  ,  3.25  ,  2.78443829545  ,  204  ,  286  ,  245.03057  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  84  ,  84  ,  84.0  ,  2.30337078652  ,  3.23595505618  ,  2.76943910112  ,  205  ,  288  ,  246.48008  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  85  ,  85  ,  85.0  ,  2.28888888889  ,  3.22222222222  ,  2.75611211111  ,  206  ,  290  ,  248.05009  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  86  ,  86  ,  86.0  ,  2.27472527473  ,  3.20879120879  ,  2.74121846154  ,  207  ,  292  ,  249.45088  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  87  ,  87  ,  87.0  ,  2.26086956522  ,  3.19565217391  ,  2.72760423913  ,  208  ,  294  ,  250.93959  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  88  ,  88  ,  88.0  ,  2.24731182796  ,  3.18279569892  ,  2.71554473118  ,  209  ,  296  ,  252.54566  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  89  ,  89  ,  89.0  ,  2.23404255319  ,  3.17021276596  ,  2.70071478723  ,  210  ,  298  ,  253.86719  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  90  ,  90  ,  90.0  ,  2.22105263158  ,  3.15789473684  ,  2.68970821053  ,  211  ,  300  ,  255.52228  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  91  ,  91  ,  91.0  ,  2.20833333333  ,  3.14583333333  ,  2.67611645833  ,  212  ,  302  ,  256.90718  ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  92  ,  92  ,  92.0  ,  2.19587628866  ,  3.13402061856  ,  2.66427041237  ,  213  ,  304  ,  258.43423  ,
